conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version
11347,Mali,Government of Mali,72,NA,AQIM,539,NA,2,NA,2009,1,0,3,2009-06-10,1,2009-06-16,1,1,2009-07-16,NA,432,NA,NA,NA,432,4,24.1
11347,Mali,Government of Mali,72,NA,"Ansar Dine, Military faction (Red Berets)","1157, 1164",NA,2,NA,2012,1,0,3,2009-06-10,1,2012-01-24,1,0,NA,NA,432,NA,NA,NA,432,4,24.1
11347,Mali,Government of Mali,72,"Government of Bangladesh, Government of Belgium, Government of Benin, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Chad, Government of China, Government of Egypt, Government of Estonia, Government of Finland, Government of France, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Liberia, Government of Mauritania, Government of Nepal, Government of Niger, Government of Nigeria, Government of Norway, Government of Rwanda, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Tajikistan, Government of Togo, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)","Ansar Dine, AQIM, MUJAO, Signed-in-Blood Battalion","1157, 1161, 3481, 539",NA,2,NA,2013,1,1,4,2009-06-10,1,2012-01-24,1,0,NA,NA,432,"2, 200, 211, 220, 260, 325, 366, 375, 380, 385, 404, 433, 434, 435, 436, 437, 438, 439, 450, 451, 452, 461, 475, 483, 516, 517, 651, 663, 678, 702, 710, 771, 790, 811",NA,NA,432,4,24.1
11347,Mali,Government of Mali,72,"Government of Bangladesh, Government of Belgium, Government of Benin, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Chad, Government of China, Government of Egypt, Government of Estonia, Government of Finland, Government of France, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Liberia, Government of Mauritania, Government of Nepal, Government of Niger, Government of Nigeria, Government of Norway, Government of Rwanda, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Tajikistan, Government of Togo, Government of United Kingdom, Government of United States of America","al-Murabitun, AQIM","4376, 539",NA,2,NA,2014,1,1,4,2009-06-10,1,2012-01-24,1,0,NA,NA,432,"2, 200, 211, 220, 260, 325, 366, 375, 380, 385, 404, 433, 434, 435, 436, 437, 438, 439, 450, 451, 452, 461, 475, 483, 516, 517, 651, 663, 702, 710, 771, 790, 811",NA,NA,432,4,24.1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Djibouti, Government of DR Congo (Zaire), Government of Egypt, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Madagascar, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Rwanda, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)","Ansar Dine, AQIM","1157, 539",NA,2,NA,2015,1,1,4,2009-06-10,1,2012-01-24,1,0,NA,NA,432,"2, 200, 210, 211, 220, 225, 235, 260, 305, 316, 325, 346, 360, 366, 367, 371, 375, 380, 385, 390, 404, 420, 433, 434, 435, 436, 437, 438, 439, 450, 451, 452, 461, 471, 475, 483, 490, 501, 516, 517, 522, 580, 616, 640, 651, 663, 678, 710, 760, 771, 790, 811, 850, 92",NA,NA,432,4,24.1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Congo, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Hungary, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)","Ansar Dine, AQIM","1157, 539",NA,2,NA,2016,1,1,4,2009-06-10,1,2012-01-24,1,0,NA,NA,432,"2, 200, 210, 211, 220, 225, 235, 260, 305, 310, 316, 325, 360, 366, 368, 371, 375, 380, 385, 390, 404, 420, 433, 434, 435, 436, 437, 438, 439, 450, 451, 452, 461, 471, 475, 483, 484, 501, 516, 530, 580, 616, 640, 651, 663, 678, 710, 760, 771, 790, 811, 850, 92",NA,NA,432,4,24.1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Hungary, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)","AQIM, JNIM","539, 6716",NA,2,NA,2017,1,1,4,2009-06-10,1,2012-01-24,1,0,NA,NA,432,"2, 200, 210, 211, 220, 225, 235, 260, 305, 310, 316, 325, 346, 360, 366, 367, 368, 371, 375, 380, 385, 390, 404, 420, 433, 434, 435, 436, 437, 438, 439, 450, 451, 452, 461, 471, 475, 483, 501, 516, 530, 616, 651, 663, 678, 710, 760, 771, 780, 790, 811, 850, 92",NA,NA,432,4,24.1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Hungary, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of New Zealand, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America",JNIM,6716,NA,2,NA,2018,1,1,4,2009-06-10,1,2012-01-24,1,0,NA,NA,432,"2, 20, 200, 210, 211, 220, 225, 230, 235, 260, 305, 310, 316, 325, 346, 360, 366, 367, 368, 371, 375, 380, 385, 390, 420, 433, 434, 435, 436, 437, 438, 439, 450, 451, 452, 461, 471, 475, 483, 501, 516, 530, 580, 616, 640, 651, 663, 70, 710, 760, 770, 771, 780, 790, 811, 850, 90, 92, 920",NA,NA,432,4,24.1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of Ukraine, Government of United Kingdom, Government of United States of America",JNIM,6716,NA,2,NA,2019,1,1,4,2009-06-10,1,2012-01-24,1,0,NA,NA,432,"2, 20, 200, 205, 210, 211, 220, 225, 230, 235, 260, 305, 316, 325, 346, 360, 366, 367, 368, 369, 371, 375, 380, 385, 390, 420, 433, 434, 435, 436, 437, 438, 439, 450, 451, 452, 461, 471, 475, 483, 501, 516, 530, 580, 616, 640, 651, 663, 70, 710, 760, 770, 771, 780, 790, 811, 850, 90, 92",NA,NA,432,4,24.1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Australia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Iran, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Ukraine, Government of United Kingdom, Government of United States of America, Government of Zambia",JNIM,6716,NA,2,NA,2020,1,1,4,2009-06-10,1,2012-01-24,1,0,NA,NA,432,"2, 20, 200, 205, 210, 211, 220, 225, 230, 235, 260, 305, 316, 325, 346, 360, 366, 367, 368, 369, 371, 375, 380, 385, 390, 420, 433, 434, 435, 436, 437, 438, 439, 450, 451, 452, 461, 471, 475, 483, 501, 516, 530, 551, 580, 616, 630, 651, 663, 70, 710, 760, 770, 771, 780, 790, 811, 850, 90, 900, 92",NA,NA,432,4,24.1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Australia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Greece, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Iran, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Luxembourg, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of Ukraine, Government of United Kingdom, Government of United States of America, Government of Zambia",JNIM,6716,NA,2,NA,2021,1,1,4,2009-06-10,1,2012-01-24,1,0,NA,NA,432,"2, 20, 200, 205, 210, 211, 212, 220, 225, 230, 235, 260, 305, 316, 325, 346, 350, 360, 366, 367, 368, 369, 371, 375, 380, 385, 390, 420, 433, 434, 435, 436, 437, 438, 439, 450, 451, 452, 461, 471, 475, 483, 501, 516, 530, 551, 616, 630, 640, 651, 663, 70, 710, 760, 770, 771, 780, 790, 811, 850, 90, 900, 92",NA,NA,432,4,24.1
11347,Mali,Government of Mali,72,"Government of Australia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Iran, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Luxembourg, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America",JNIM,6716,NA,2,NA,2022,2,1,4,2009-06-10,1,2012-01-24,1,0,NA,NA,432,"2, 20, 200, 210, 211, 212, 220, 225, 230, 235, 260, 305, 316, 325, 360, 366, 367, 368, 375, 380, 385, 390, 420, 433, 434, 435, 436, 437, 438, 439, 450, 451, 452, 461, 471, 475, 483, 501, 516, 616, 630, 640, 651, 663, 70, 710, 760, 770, 771, 780, 790, 811, 850, 90, 900, 92",NA,NA,432,4,24.1
11347,Mali,Government of Mali,72,"Government of Australia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Iran, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Liberia, Government of Lithuania, Government of Luxembourg, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America",JNIM,6716,NA,2,NA,2023,1,1,4,2009-06-10,1,2012-01-24,1,0,NA,NA,432,"2, 20, 200, 210, 211, 212, 220, 225, 230, 235, 260, 305, 316, 325, 360, 366, 368, 375, 385, 390, 420, 433, 434, 435, 436, 437, 438, 439, 450, 451, 452, 461, 471, 475, 483, 501, 516, 616, 630, 640, 651, 663, 70, 710, 760, 770, 771, 780, 790, 811, 850, 90, 900, 92",NA,NA,432,4,24.1
11348,"South Sudan, Sudan",Government of South Sudan,113,NA,Government of Sudan,112,NA,1,Common border,2012,1,0,2,2012-03-27,1,2012-03-27,1,1,2012-12-26,NA,626,NA,625,NA,"625, 626",4,24.1
11349,China,Government of China,135,NA,ETIM,1156,NA,1,East Turkestan,2008,1,0,3,1990-04-05,1,2008-08-10,1,1,2008-08-29,NA,710,NA,NA,NA,710,3,24.1
11350,Bangladesh,Government of Bangladesh,143,NA,"PBCP, PBCP-J","1165, 805",NA,2,NA,2005,1,0,3,1994-04-24,1,2005-02-08,1,0,NA,NA,771,NA,NA,NA,771,3,24.1
11350,Bangladesh,Government of Bangladesh,143,NA,PBCP-J,1165,NA,2,NA,2006,1,0,3,1994-04-24,1,2005-02-08,1,1,2006-12-22,NA,771,NA,NA,NA,771,3,24.1
11447,Ethiopia,Government of Ethiopia,97,NA,IGLF,1115,NA,1,Hararghe,1991,1,0,3,1991-10-10,2,1991-10-10,2,1,1991-10-10,NA,530,NA,NA,NA,530,4,24.1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,NA,NSCN-K,224,NA,1,Nagaland,1991,1,0,3,1991-12-31,3,1991-12-31,3,1,1991-12-31,NA,775,NA,NA,NA,775,3,24.1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,NA,NSCN-K,224,NA,1,Nagaland,1995,1,0,3,1991-12-31,3,1995-04-17,3,1,1995-05-03,NA,775,NA,NA,NA,775,3,24.1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,NA,NSCN-K,224,NA,1,Nagaland,2000,1,0,3,1991-12-31,3,2000-02-28,3,0,NA,NA,775,NA,NA,NA,775,3,24.1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,NA,NSCN-K,224,NA,1,Nagaland,2001,1,0,3,1991-12-31,3,2000-02-28,3,1,2001-05-18,NA,775,NA,NA,NA,775,3,24.1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,NA,NSCN-K,224,NA,1,Nagaland,2005,1,0,3,1991-12-31,3,2005-01-31,3,0,NA,NA,775,NA,NA,NA,775,3,24.1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,NA,NSCN-K,224,NA,1,Nagaland,2006,1,0,3,1991-12-31,3,2005-01-31,3,0,NA,NA,775,NA,NA,NA,775,3,24.1
11475,Myanmar (Burma),Government of Myanmar (Burma),144,NA,NSCN-K,224,NA,1,Nagaland,2007,1,0,3,1991-12-31,3,2005-01-31,3,1,2007-02-15,NA,775,NA,NA,NA,775,3,24.1
11487,Malaysia,Government of Malaysia,152,NA,Sultanate of Sulu,4006,NA,1,Sabah,2013,1,0,3,2013-03-01,1,2013-03-02,1,1,2013-04-24,NA,820,NA,NA,NA,820,3,24.1
11884,Hyderabad,Government of Hyderabad,2,NA,CPI,178,NA,2,NA,1947,2,1,3,1947-06-30,4,1947-06-30,4,0,NA,NA,751,NA,NA,NA,751,3,24.1
11884,Hyderabad,Government of Hyderabad,2,NA,CPI,178,NA,2,NA,1948,2,1,3,1947-06-30,4,1947-06-30,4,1,1948-09-18,NA,751,NA,NA,NA,751,3,24.1
13042,Syria,Government of Syria,118,NA,PYD,4163,NA,1,Rojava Kurdistan,2012,1,0,3,2011-09-10,2,2012-09-07,1,0,NA,NA,652,NA,NA,NA,652,2,24.1
13042,Syria,Government of Syria,118,NA,PYD,4163,NA,1,Rojava Kurdistan,2013,1,0,3,2011-09-10,2,2012-09-07,1,0,NA,NA,652,NA,NA,NA,652,2,24.1
13042,Syria,Government of Syria,118,NA,PYD,4163,NA,1,Rojava Kurdistan,2014,1,0,3,2011-09-10,2,2012-09-07,1,0,NA,NA,652,NA,NA,NA,652,2,24.1
13042,Syria,Government of Syria,118,NA,PYD,4163,NA,1,Rojava Kurdistan,2015,1,0,3,2011-09-10,2,2012-09-07,1,1,2015-07-25,NA,652,NA,NA,NA,652,2,24.1
13219,Ukraine,Government of Ukraine,61,NA,Maidan,5817,NA,2,NA,2014,1,0,3,2014-01-22,1,2014-02-18,1,1,2014-02-21,NA,369,NA,NA,NA,369,1,24.1
13243,"Russia (Soviet Union), Ukraine",Government of Russia (Soviet Union),57,NA,Government of Ukraine,61,NA,3,Crimea,2022,2,1,2,2014-03-18,1,2022-02-24,1,0,NA,NA,365,NA,369,NA,"365, 369",1,24.1
13243,"Russia (Soviet Union), Ukraine",Government of Russia (Soviet Union),57,NA,Government of Ukraine,61,NA,3,Crimea,2023,2,1,2,2014-03-18,1,2022-02-24,1,0,NA,NA,365,NA,369,NA,"365, 369",1,24.1
13246,Ukraine,Government of Ukraine,61,NA,DPR,5840,Government of Russia (Soviet Union),1,Donetsk,2014,2,1,4,2014-04-08,1,2014-05-02,1,1,2014-09-15,NA,369,NA,NA,365,369,1,24.1
13247,Ukraine,Government of Ukraine,61,NA,LPR,5839,Government of Russia (Soviet Union),1,Lugansk,2014,2,1,4,2014-05-04,1,2014-06-14,1,1,2014-09-17,NA,369,NA,NA,365,369,1,24.1
13306,Ukraine,Government of Ukraine,61,NA,United Armed Forces of Novorossiya,5914,Government of Russia (Soviet Union),1,Novorossiya,2014,2,1,4,2014-09-16,1,2014-09-18,1,0,NA,NA,369,NA,NA,365,369,1,24.1
13306,Ukraine,Government of Ukraine,61,NA,"DPR, LPR, United Armed Forces of Novorossiya","5914, 6711, 6712",Government of Russia (Soviet Union),1,Novorossiya,2015,2,1,4,2014-09-16,1,2014-09-18,1,0,NA,NA,369,NA,NA,365,369,1,24.1
13306,Ukraine,Government of Ukraine,61,NA,"DPR, LPR","6711, 6712",Government of Russia (Soviet Union),1,Novorossiya,2016,1,1,4,2014-09-16,1,2014-09-18,1,0,NA,NA,369,NA,NA,365,369,1,24.1
13306,Ukraine,Government of Ukraine,61,NA,"DPR, LPR","6711, 6712",Government of Russia (Soviet Union),1,Novorossiya,2017,1,1,4,2014-09-16,1,2014-09-18,1,0,NA,NA,369,NA,NA,365,369,1,24.1
13306,Ukraine,Government of Ukraine,61,NA,"DPR, LPR","6711, 6712",Government of Russia (Soviet Union),1,Novorossiya,2018,1,1,4,2014-09-16,1,2014-09-18,1,0,NA,NA,369,NA,NA,365,369,1,24.1
